name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
35線上賞屋,fb,23.0,614.0,23.0,16.0,0.0,36.0,2327.0,79.0,248.0,424308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,25000.0,46000.0,187000.0,250000.0,5.917391047069955,1194.974966806251,0.0,0.0
Mr. Market 市場先生,fb,4.0,3611.0,1186.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284000.0,99000.0,120000.0,202000.0,368000.0,281.2999296750176,0.0,0.0,0.0
SALU,fb,5.0,910.0,12.0,8.0,0.0,12.0,1769.0,63.0,29.0,14200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,13000.0,15000.0,250000.0,133000.0,37.75999244800151,150.35832080347328,0.0,0.0
凱特愛跟瘋,fb,21.0,1602.0,273.0,11.0,1289.0,11.0,1636.0,63.0,312.0,89876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,179000.0,122000.0,25.504760690249487,859.863558194222,0.0,0.0
我們是四胞胎,fb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,40000.0,12000.0,178000.0,7000.0,0.0,0.0,0.0,0.0
艾琳的日常Erin's Diary,fb,110.0,71153.0,3370.0,575.0,157780.0,34.0,8343.0,377.0,305.0,787064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83000.0,26000.0,32000.0,249000.0,170000.0,284.08727014466115,2370.885224385729,0.0,0.0
萌萌の生活日記,fb,8.0,587.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,215000.0,124000.0,15.987498001562752,0.0,0.0,0.0
處女座媽媽的瑣碎日常,fb,38.0,78545.0,4665.0,586.0,0.0,41.0,42018.0,1952.0,1540.0,1123604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129000.0,38000.0,40000.0,213000.0,170000.0,456.3920932528397,2974.770659151936,0.0,0.0
身心科 李旻珊醫師,fb,21.0,10008.0,464.0,123.0,0.0,11.0,4453.0,172.0,102.0,213502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,17000.0,37000.0,243000.0,238000.0,104.28570931972811,2030.2907245190247,0.0,0.0
陳儀潔（小肥）,fb,6.0,5925.0,215.0,115.0,0.0,6.0,1770.0,43.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,6000.0,6000.0,188000.0,112000.0,215.91663068056155,63.74998937500177,0.0,0.0
陳翊萱 Amily,fb,15.0,3099.0,328.0,27.0,0.0,2.0,314.0,38.0,24.0,92158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0,18000.0,32000.0,116000.0,204000.0,48.59999676000022,4649.797675101162,0.0,0.0
雙寶媽咪探險日記,fb,6.0,551.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,3000.0,184000.0,124000.0,19.08333015277831,0.0,0.0,0.0
35線上賞屋,yt,0.0,0.0,0.0,0.0,0.0,39.0,21934.0,3556.0,0.0,2055344.0,18.0,581.0,26.0,0.0,51482.0,0.0,0.0,0.0,0.0,0.0,525000.0,5000000.0,5000000.0,5000000.0,420000.0,0.0,5493.543448883504,296.5610946354948,0.0
77老大,yt,0.0,0.0,0.0,0.0,0.0,45.0,168110.0,11884.0,0.0,7885575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450000.0,5000000.0,5000000.0,5000000.0,630000.0,0.0,18802.686248829195,0.0,0.0
Cindy H,yt,0.0,0.0,0.0,0.0,0.0,32.0,44602.0,3028.0,0.0,2013092.0,2.0,477.0,8.0,0.0,17642.0,0.0,0.0,0.0,0.0,0.0,203000.0,5000000.0,5000000.0,5000000.0,60000.0,0.0,6765.8310385677805,956.0495219752388,0.0
Meg 今天穿什麼,yt,0.0,0.0,0.0,0.0,0.0,34.0,51000.0,4457.0,0.0,2927565.0,5.0,5944.0,91.0,0.0,184642.0,0.0,0.0,0.0,0.0,0.0,324000.0,5000000.0,5000000.0,5000000.0,140000.0,0.0,9139.137966495944,4060.3991879201617,0.0
Men's Game 玩物誌,yt,0.0,0.0,0.0,0.0,0.0,65.0,81377.0,11855.0,0.0,4814492.0,8.0,2719.0,247.0,0.0,133489.0,0.0,0.0,0.0,0.0,0.0,596000.0,5000000.0,5000000.0,5000000.0,210000.0,0.0,7891.927570893423,1789.0997763625285,0.0
SelinaCheng Life,yt,0.0,0.0,0.0,0.0,0.0,29.0,32181.0,2977.0,0.0,1687350.0,7.0,5810.0,81.0,0.0,182717.0,0.0,0.0,0.0,0.0,0.0,228000.0,5000000.0,5000000.0,5000000.0,158000.0,0.0,6212.94806162248,2866.1853048306707,0.0
Shell.《一個女仔去台灣》,yt,0.0,0.0,0.0,0.0,0.0,6.0,4451.0,459.0,0.0,92733.0,2.0,108.0,2.0,0.0,1951.0,0.0,0.0,0.0,0.0,0.0,34000.0,5000000.0,5000000.0,5000000.0,33000.0,0.0,1813.9996976667169,114.3499428250286,0.0
Shinli ,yt,0.0,0.0,0.0,0.0,0.0,34.0,49259.0,4326.0,0.0,2841674.0,5.0,5963.0,91.0,0.0,184500.0,0.0,0.0,0.0,0.0,0.0,297000.0,5000000.0,5000000.0,5000000.0,126000.0,0.0,8868.84385679871,4058.6991882601615,0.0
Shoko,yt,0.0,0.0,0.0,0.0,0.0,31.0,40528.0,3664.0,0.0,2408760.0,5.0,6055.0,92.0,0.0,183788.0,0.0,0.0,0.0,0.0,0.0,163000.0,5000000.0,5000000.0,5000000.0,57000.0,0.0,8233.315863441423,4050.099189980162,0.0
TEEPR 推一波,yt,0.0,0.0,0.0,0.0,0.0,65.0,126634.0,8651.0,0.0,9012012.0,7.0,2997.0,84.0,0.0,71169.0,0.0,0.0,0.0,0.0,0.0,515000.0,5000000.0,5000000.0,5000000.0,52000.0,0.0,14528.953622631485,1152.3426925224726,0.0
Tang_ful,yt,0.0,0.0,0.0,0.0,0.0,26.0,33438.0,2549.0,0.0,1620038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174000.0,5000000.0,5000000.0,5000000.0,74000.0,0.0,6675.5612817091815,0.0,0.0
The DoDo Men,yt,0.0,0.0,0.0,0.0,0.0,39.0,68572.0,5788.0,0.0,3796807.0,6.0,5758.0,89.0,0.0,186072.0,0.0,0.0,0.0,0.0,0.0,595000.0,5000000.0,5000000.0,5000000.0,280000.0,0.0,10351.925375591658,3397.999433666761,0.0
Yin & Yei 雙生過日子,yt,0.0,0.0,0.0,0.0,0.0,17.0,10250.0,952.0,0.0,493920.0,1.0,59.0,2.0,0.0,1653.0,0.0,0.0,0.0,0.0,0.0,110000.0,5000000.0,5000000.0,5000000.0,105000.0,0.0,3119.893934123886,184.1998158001842,0.0
lexww歐亞力,yt,0.0,0.0,0.0,0.0,0.0,14.0,42383.0,2018.0,0.0,1552663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,5000000.0,5000000.0,5000000.0,35000.0,0.0,12085.141993918429,0.0,0.0
三原japan,yt,0.0,0.0,0.0,0.0,0.0,47.0,96046.0,7869.0,0.0,5153901.0,8.0,5463.0,86.0,0.0,188306.0,0.0,0.0,0.0,0.0,0.0,1020000.0,5000000.0,5000000.0,5000000.0,500000.0,0.0,11679.261453632736,2565.1371793578533,0.0
六指淵,yt,0.0,0.0,0.0,0.0,0.0,40.0,73005.0,6124.0,0.0,4016700.0,7.0,5711.0,89.0,0.0,186434.0,0.0,0.0,0.0,0.0,0.0,663000.0,5000000.0,5000000.0,5000000.0,315000.0,0.0,10681.14723297132,2915.7281548959786,0.0
冰蹦拉icebonla,yt,0.0,0.0,0.0,0.0,0.0,36.0,57174.0,4925.0,0.0,3233350.0,6.0,5879.0,90.0,0.0,185145.0,0.0,0.0,0.0,0.0,0.0,419000.0,5000000.0,5000000.0,5000000.0,189000.0,0.0,9540.060846109422,3388.699435216761,0.0
吃貨豪豪,yt,0.0,0.0,0.0,0.0,0.0,38.0,64818.0,5504.0,0.0,3611279.0,6.0,5798.0,90.0,0.0,185767.0,0.0,0.0,0.0,0.0,0.0,537000.0,5000000.0,5000000.0,5000000.0,250000.0,0.0,10101.991839421267,3395.01610083065,0.0
妞妞family,yt,0.0,0.0,0.0,0.0,0.0,38.0,66015.0,5595.0,0.0,3669677.0,6.0,5784.0,89.0,0.0,185863.0,0.0,0.0,0.0,0.0,0.0,556000.0,5000000.0,5000000.0,5000000.0,260000.0,0.0,10266.557624564271,3395.816100697317,0.0
宇恩,yt,0.0,0.0,0.0,0.0,0.0,32.0,41615.0,3747.0,0.0,2463745.0,5.0,6045.0,92.0,0.0,183878.0,0.0,0.0,0.0,0.0,0.0,179000.0,5000000.0,5000000.0,5000000.0,65000.0,0.0,8159.599745012509,4051.2991897401616,0.0
安安，邊緣子,yt,0.0,0.0,0.0,0.0,0.0,36.0,58508.0,5026.0,0.0,3298621.0,6.0,5864.0,90.0,0.0,185253.0,0.0,0.0,0.0,0.0,0.0,440000.0,5000000.0,5000000.0,5000000.0,200000.0,0.0,9734.169174050856,3389.7494350417605,0.0
小日刀口,yt,0.0,0.0,0.0,0.0,0.0,16.0,2494.0,162.0,0.0,228800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168000.0,5000000.0,5000000.0,5000000.0,55000.0,0.0,1482.837407322662,0.0,0.0
