name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
Melvin Yang|melvinyang1106,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
luwinshow69|盧聞嗅,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
yan|yanyen_,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
yogetup,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
ʏᴜʀᴀ🦩紫暄,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
易胖體質的吃貨|iam_fattyfoodie,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
雋先生|mr._jun_0714,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
黛C,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
🐱 𝕋ℍ𝔼ℝ𝔼𝔽𝕆ℝ𝔼 x 食 旅 日 誌✨抽 獎 中,ig,26.0,0.0,431.0,0.0,0.0,0.0,44.0,0.0,0.0,305.0,5.0,3310.0,101.0,0.0,38849.0,0.0,23.0,0.0,0.0,292.0,9000.0,25000.0,2000.0,81000.0,,8.2884612196745682,74200000.0,1762.6596474680703,65300000.000000015
Nina|Nina Chen|chungnichen,ig,26.0,0.0,412.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,2568.0,88.0,0.0,26849.0,0.0,23.0,0.0,0.0,280.0,10000.0,25000.0,2000.0,81000.0,,7.9230766183432069,2700000.0,1236.8397526320493,62900000.0
