name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,avg_post_voice,avg_video_voice,avg_short_voice,avg_live_voice
35線上賞屋,fb,23.0,614.0,23.0,16.0,0.0,36.0,2327.0,79.0,248.0,424308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,25000.0,46000.0,187000.0,250000.0,5.917391047069955,1194.974966806251,0.0,0.0
Cinya的私房烘焙課,fb,162.0,43207.0,16766.0,14606.0,0.0,38.0,6140.0,696.0,2130.0,258951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,11000.0,10000.0,144000.0,113000.0,120.45432024410916,741.6815594294327,0.0,0.0
GooD Life-我們的100種生活,fb,62.0,38012.0,1670.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,11000.0,8000.0,215000.0,105000.0,132.59677205489078,0.0,0.0,0.0
Michelle Ting's Story Amusement Park 英樂繪本遊樂園,fb,119.0,14421.0,3358.0,860.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,5000.0,2000.0,284000.0,93000.0,35.59327701182121,0.999999000001,0.0,0.0
Mr. Market 市場先生,fb,4.0,3611.0,1186.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284000.0,99000.0,120000.0,202000.0,368000.0,281.2999296750176,0.0,0.0,0.0
M觀點,fb,408.0,142311.0,5955.0,3947.0,1406.0,2.0,333.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,17000.0,21000.0,203000.0,151000.0,78.35318608246766,38.949980525009735,0.0,0.0
P.S Love Studio,fb,36.0,4126.0,303.0,62.0,0.0,1.0,40.0,4.0,3.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,253000.0,122000.0,26.136110385108047,101.69989830010172,0.0,0.0
Popo小日子,fb,206.0,14351.0,617.0,956.0,0.0,19.0,889.0,37.0,105.0,6947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1000.0,2000.0,267000.0,111000.0,16.687863996660855,48.715786909695424,0.0,0.0
Q老師的營養教室-張佩蓉營養師,fb,106.0,229797.0,5713.0,876.0,0.0,4.0,3641.0,129.0,8.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,20000.0,23000.0,264000.0,150000.0,453.0537693108136,221.9249445187639,0.0,0.0
SALU,fb,5.0,910.0,12.0,8.0,0.0,12.0,1769.0,63.0,29.0,14200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000.0,13000.0,15000.0,250000.0,133000.0,37.75999244800151,150.35832080347328,0.0,0.0
The Regina.,fb,40.0,2325.0,26.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47000.0,5000.0,1000.0,226000.0,56000.0,12.419999689500008,0.0,0.0,0.0
The Twins Chelsea & Jesper,fb,34.0,16455.0,669.0,355.0,0.0,30.0,1985.0,51.0,15.0,40658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270000.0,81000.0,80000.0,235000.0,218000.0,106.87352626842572,149.46999501766683,0.0,0.0
Wenwen小姐和寶貝們,fb,217.0,55965.0,13988.0,13440.0,0.0,16.0,560.0,136.0,22.0,2567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,1000.0,2000.0,111000.0,109000.0,95.69308711662173,26.143748366015725,0.0,0.0
一隻阿圓,fb,118.0,253229.0,2353.0,1485.0,0.0,43.0,23936.0,390.0,387.0,301961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214000.0,69000.0,77000.0,174000.0,250000.0,440.2177928795104,819.8860274445112,0.0,0.0
上班不要看,fb,49.0,64437.0,614.0,221.0,31763.0,60.0,46233.0,1912.0,1399.0,320477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606000.0,155000.0,100000.0,176000.0,27000.0,333.3938707470639,707.1249882145836,0.0,0.0
個人意見,fb,49.0,63107.0,1573.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171000.0,37000.0,13000.0,128000.0,25000.0,273.96121889875064,0.0,0.0,0.0
傻妞吃台南,fb,72.0,32190.0,1511.0,2448.0,0.0,98.0,80370.0,2415.0,6123.0,1889120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000.0,18000.0,5000.0,184000.0,57000.0,109.31249848177086,2124.0785497543006,0.0,0.0
儒儒的日常札記,fb,59.0,15350.0,653.0,61.0,0.0,1.0,41.0,5.0,0.0,1742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,15000.0,19000.0,294000.0,148000.0,55.76779566495262,183.89981610018395,0.0,0.0
克萊兒食尚生活,fb,58.0,6049.0,324.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,4000.0,7000.0,355000.0,125000.0,23.36896511432819,0.0,0.0,0.0
六一遛阿寬,fb,23.0,39495.0,769.0,411.0,138274.0,110.0,75385.0,4328.0,6002.0,3057207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,15000.0,12000.0,293000.0,108000.0,961.8043060085084,2949.971791363893,0.0,0.0
凱特愛跟瘋,fb,21.0,1602.0,273.0,11.0,1289.0,11.0,1636.0,63.0,312.0,89876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,179000.0,122000.0,25.504760690249487,859.863558194222,0.0,0.0
唐聖捷,fb,25.0,10859.0,190.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000.0,6000.0,6000.0,139000.0,113000.0,91.26399634944016,0.0,0.0,0.0
好圓好亮好點星,fb,29.0,71259.0,743.0,100.0,0.0,25.0,64926.0,2781.0,1406.0,40773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179000.0,48000.0,40000.0,213000.0,129000.0,500.50687929286624,738.3679704652811,0.0,0.0
媽咪速玲,fb,77.0,208013.0,5067.0,1650.0,0.0,4.0,1972.0,116.0,99.0,61158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482000.0,123000.0,80000.0,139000.0,46000.0,568.6064861219937,1646.1495884626029,0.0,0.0
孫悟天存股-孫太,fb,165.0,268931.0,12760.0,6835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000.0,43000.0,56000.0,181000.0,239000.0,365.74666445002026,0.0,0.0,0.0
家有2千金勝萬金,fb,25.0,1276.0,129.0,16.0,0.0,6.0,270.0,29.0,4.0,12773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,3000.0,125000.0,124000.0,12.01199951952002,223.5999627333396,0.0,0.0
小夫妻的旅攝生活 S&S Life,fb,104.0,41998.0,7150.0,1162.0,0.0,11.0,1359.0,396.0,18.0,8269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,3000.0,6000.0,230000.0,124000.0,105.85961436673448,111.33635351487696,0.0,0.0
小蠻 王承嫣,fb,24.0,38266.0,662.0,327.0,0.0,1.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498000.0,126000.0,80000.0,140000.0,33000.0,332.6083194746534,11.999988000012005,0.0,0.0
小銘小玄夫夫日常,fb,29.0,20070.0,561.0,299.0,0.0,4.0,2407.0,107.0,32.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97000.0,22000.0,12000.0,212000.0,83000.0,148.34137419512504,173.17495670626082,0.0,0.0
我們是四胞胎,fb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,40000.0,12000.0,178000.0,7000.0,0.0,0.0,0.0,0.0
我愛人妻少女心,fb,81.0,15510.0,4387.0,1899.0,7267.0,10.0,1631.0,392.0,35.0,80841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,1000.0,2000.0,247000.0,111000.0,72.89382626057004,854.1899145810088,0.0,0.0
我是大A,fb,144.0,441593.0,10090.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374000.0,102000.0,80000.0,220000.0,134000.0,642.6916622035302,0.0,0.0,0.0
我是崴爺,fb,53.0,182957.0,8321.0,5111.0,0.0,2.0,1214.0,73.0,5.0,28993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286000.0,74000.0,52000.0,325000.0,93000.0,776.0773438475975,1582.999208500396,0.0,0.0
旅行沙舟 張J,fb,33.0,30752.0,914.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,8000.0,8000.0,170000.0,115000.0,206.7818119157027,0.0,0.0,0.0
曼達愛吃鬼,fb,115.0,19436.0,562.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,2000.0,2000.0,258000.0,107000.0,37.87304314893007,0.0,0.0,0.0
柯蘿依Chloe,fb,166.0,38681.0,8964.0,499.0,0.0,2.0,325.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,4000.0,4000.0,208000.0,111000.0,64.0060237108071,43.899978050010965,0.0,0.0
梁赫群,fb,54.0,221323.0,12637.0,845.0,0.0,9.0,1695.0,257.0,39.0,233602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000.0,62000.0,84000.0,330000.0,318000.0,896.179613033711,2643.5441507173164,0.0,0.0
梅姬LU,fb,130.0,81908.0,7620.0,438.0,0.0,16.0,5228.0,574.0,39.0,8291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,7000.0,6000.0,218000.0,107000.0,144.94461426965682,128.9062419433599,0.0,0.0
歐馬克,fb,179.0,120058.0,3417.0,2513.0,0.0,10.0,3295.0,80.0,26.0,131497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,27000.0,42000.0,220000.0,228000.0,145.48547404756718,1384.309861569014,0.0,0.0
王家梁,fb,45.0,151881.0,1967.0,304.0,0.0,7.0,35510.0,580.0,106.0,895445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,158000.0,184000.0,332000.0,484000.0,690.8422068701732,13837.555166063546,0.0,0.0
田定豐,fb,60.0,80238.0,4724.0,1571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109000.0,51000.0,84000.0,181000.0,364000.0,301.55332830744453,0.0,0.0,0.0
皮膚科 胡怡萱醫師,fb,137.0,4666.0,761.0,84.0,0.0,8.0,115.0,40.0,3.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,15000.0,43000.0,252000.0,285000.0,8.723357600559433,21.899997262500342,0.0,0.0
程涵宇營養師,fb,44.0,14788.0,704.0,2668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.0,18000.0,35000.0,100000.0,226000.0,96.2727250847108,0.0,0.0,0.0
米菲&米粒MifaMily,fb,81.0,343302.0,8184.0,272.0,0.0,46.0,233087.0,1380.0,165.0,3679537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148000.0,44000.0,45000.0,197000.0,174000.0,879.3135693911905,9022.849803851092,0.0,0.0
翁馨儀,fb,54.0,59739.0,1187.0,249.0,2752.0,7.0,2384.0,106.0,8.0,19884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0,38000.0,38000.0,135000.0,1000.0,234.79073639276416,357.1713775469461,0.0,0.0
艾爾文,fb,95.0,632460.0,12386.0,113010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627000.0,160000.0,65000.0,69000.0,1000.0,1846.4399805637893,0.0,0.0,0.0
艾琳的日常Erin's Diary,fb,110.0,71153.0,3370.0,575.0,157780.0,34.0,8343.0,377.0,305.0,787064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83000.0,26000.0,32000.0,249000.0,170000.0,284.08727014466115,2370.885224385729,0.0,0.0
范琪斐的美國時間,fb,54.0,85506.0,3487.0,1361.0,100561.0,251.0,104049.0,6152.0,7626.0,4883373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405000.0,108000.0,80000.0,285000.0,108000.0,532.3666568080249,2047.9804699283648,0.0,0.0
萌萌の生活日記,fb,8.0,587.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,1000.0,2000.0,215000.0,124000.0,15.987498001562752,0.0,0.0,0.0
藍白拖,fb,178.0,354857.0,13122.0,7275.0,0.0,3.0,3503.0,144.0,55.0,114029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221000.0,68000.0,70000.0,263000.0,217000.0,437.1797728248328,4056.231981256007,0.0,0.0
處女座媽媽的瑣碎日常,fb,38.0,78545.0,4665.0,586.0,0.0,41.0,42018.0,1952.0,1540.0,1123604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129000.0,38000.0,40000.0,213000.0,170000.0,456.3920932528397,2974.770659151936,0.0,0.0
