name,platform,post_sum_6m,like_count_post_6m,comment_count_post_6m,share_count_post_6m,view_count_post_6m,video_post_sum_6m,like_count_video_6m,comment_count_video_6m,share_count_video_6m,view_count_video_6m,short_post_sum_6m,like_count_short_6m,comment_count_short_6m,share_count_short_6m,view_count_short_6m,live_post_sum_6m,like_count_live_6m,comment_count_live_6m,share_count_live_6m,view_count_live_6m,follower_count_processed,live,post,short,video,total_post_sum_1m,total_post_sum_2m,total_post_sum_3m,total_post_sum_4m,total_post_sum_5m,total_post_sum_6m,advertise_total_post_sum_1m,advertise_total_post_sum_2m,advertise_total_post_sum_3m,advertise_total_post_sum_4m,advertise_total_post_sum_5m,advertise_total_post_sum_6m,social_vol_1m,social_vol_2m,social_vol_3m,social_vol_4m,social_vol_5m,social_vol_6m,impute,avg_post_voice_1m,avg_post_voice_2m,avg_post_voice_3m,avg_post_voice_4m,avg_post_voice_5m,avg_post_voice_6m,max_value,min_value,scaled_voice_m1,scaled_voice_m2,scaled_voice_m3,scaled_voice_m4,scaled_voice_m5,scaled_voice_m6,mean,stdev
林長安,ig,9.0,545.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1013.0,110.0,0.0,13376.0,0.0,0.0,0.0,0.0,0.0,4000.0,26000.0,1000.0,78000.0,,4.0,1.0,0.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,277.0,510.0,269.0,144.0,45.0,508.0,true,69.25,510.0,0.0,144.0,4.5,254.0,510.0,0.0,0.13578431372549019,1.0,0.0,0.28235294117647058,0.0088235294117647058,0.49803921568627452,0.3208333333333333,0.853625978758214
小仙,ig,10.0,5680.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,20000.0,2000.0,84000.0,,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,192.0,72.0,324.0,220.0,98.0,526.0,true,96.0,18.0,162.0,110.0,0.0,0.0,162.0,0.0,0.59259259259259256,0.1111111111111111,1.0,0.67901234567901236,0.0,0.0,0.397119341563786,0.93720157742512422
卓君澤,ig,10.0,45706.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13030.0,134.0,0.0,153618.0,0.0,0.0,0.0,0.0,0.0,66000.0,18000.0,50000.0,95000.0,,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,491.0,1998.0,19162.0,488.0,1842.0,474.0,false,163.66666666666666,666.0,9581.0,244.0,1842.0,158.0,9581.0,158.0,0.00060136545332342749,0.053910644168523827,1.0,0.0091266051151437967,0.17871166295235064,0.0,0.20705837961489026,0.88186667766660276
好好理財,ig,11.0,20050.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,77046.0,969.0,0.0,1580643.0,0.0,0.0,0.0,0.0,0.0,213000.0,32000.0,46000.0,201000.0,,6.0,3.0,10.0,3.0,2.0,0.0,4.0,3.0,5.0,3.0,2.0,0.0,8293.0,59851.0,9946.0,5573.0,206.0,983.0,true,1382.1666666666667,19950.333333333332,994.6,1857.6666666666667,103.0,0.0,19950.333333333332,0.0,0.069280379609363257,1.0,0.04985380361230389,0.093114567843477977,0.0051628210054969845,0.0,0.20290192867844037,0.87690763152698059
安歆澐,ig,12.0,1896.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,368.0,16.0,0.0,2551.0,0.0,0.0,0.0,0.0,0.0,4000.0,31000.0,0.0,78000.0,,4.0,2.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,100.0,42.0,38.0,152.0,60.0,65.0,false,25.0,21.0,38.0,76.0,30.0,10.833333333333334,76.0,10.833333333333334,0.21739130434782605,0.15601023017902813,0.41687979539641939,1.0,0.29411764705882348,0.0,0.3473998294970162,0.77959750900089864
Ellie,ig,12.0,1736.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,10000.0,116000.0,14000.0,,3.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,452.0,true,0.33333333333333331,1.0,0.0,0.0,0.33333333333333331,0.0,1.0,0.0,0.33333333333333331,1.0,0.0,0.0,0.33333333333333331,0.0,0.27777777777777773,0.87135484118656237
Chelsea,ig,13.0,700.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,1000.0,20000.0,2000.0,75000.0,,1.0,3.0,5.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,84.0,18.0,14.0,26.0,10.0,20.0,false,84.0,6.0,2.8,26.0,10.0,6.666666666666667,84.0,2.8,1.0,0.039408866995073892,0.0,0.2857142857142857,0.088669950738916259,0.047619047619047623,0.2435686918445539,0.85869750194002747
鄧福如,ig,13.0,385362.0,1306.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,3.0,20597.0,98.0,0.0,185243.0,0.0,53.0,1.0,0.0,643.0,246000.0,15000.0,158000.0,164000.0,,3.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3685.0,7730.0,3968.0,4327.0,5447.0,3310.0,true,1228.3333333333333,7730.0,992.0,1081.75,1815.6666666666667,1655.0,7730.0,992.0,0.035074700702483419,1.0,0.0,0.01331997625408133,0.12224201048778076,0.098397150489759569,0.21150563965568422,0.87041653885505677
娜,ig,15.0,1134.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,3.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,2000.0,17000.0,2000.0,76000.0,,6.0,1.0,1.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,27.0,19.0,10.0,24.0,58.0,42.0,false,4.5,19.0,10.0,4.8,58.0,14.0,58.0,4.5,0.0,0.27102803738317754,0.102803738317757,0.0056074766355140157,1.0,0.17757009345794392,0.25950155763239874,0.84352891892508153
Ollie,ig,15.0,10786.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,21000.0,1000.0,84000.0,,1.0,9.0,9.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,78.0,543.0,true,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.9128709291752769
