live_post_sum_6m,post_sum_6m,short_post_sum_6m,video_post_sum_6m,live,post,short,video,avg_live_voice,avg_post_voice,avg_short_voice,avg_video_voice
0.0,23.0,0.0,36.0,25000.0,46000.0,187000.0,250000.0,0.0,5.917391047069955,0.0,1194.974966806251
0.0,4.0,0.0,0.0,99000.0,120000.0,202000.0,368000.0,0.0,281.2999296750176,0.0,0.0
0.0,5.0,0.0,12.0,13000.0,15000.0,250000.0,133000.0,0.0,37.75999244800151,0.0,150.35832080347328
0.0,21.0,0.0,11.0,1000.0,2000.0,179000.0,122000.0,0.0,25.504760690249487,0.0,859.863558194222
0.0,0.0,0.0,0.0,40000.0,12000.0,178000.0,7000.0,0.0,0.0,0.0,0.0
0.0,110.0,0.0,34.0,26000.0,32000.0,249000.0,170000.0,0.0,284.08727014466115,0.0,2370.885224385729
0.0,8.0,0.0,0.0,1000.0,2000.0,215000.0,124000.0,0.0,15.987498001562752,0.0,0.0
0.0,38.0,0.0,41.0,38000.0,40000.0,213000.0,170000.0,0.0,456.3920932528397,0.0,2974.770659151936
0.0,21.0,0.0,11.0,17000.0,37000.0,243000.0,238000.0,0.0,104.28570931972811,0.0,2030.2907245190247
0.0,6.0,0.0,6.0,6000.0,6000.0,188000.0,112000.0,0.0,215.91663068056155,0.0,63.74998937500177
0.0,15.0,0.0,2.0,18000.0,32000.0,116000.0,204000.0,0.0,48.59999676000022,0.0,4649.797675101162
0.0,6.0,0.0,0.0,1000.0,3000.0,184000.0,124000.0,0.0,19.08333015277831,0.0,0.0
0.0,0.0,18.0,39.0,5000000.0,5000000.0,5000000.0,420000.0,0.0,0.0,296.5610946354948,5493.543448883504
0.0,0.0,0.0,45.0,5000000.0,5000000.0,5000000.0,630000.0,0.0,0.0,0.0,18802.686248829195
0.0,0.0,2.0,32.0,5000000.0,5000000.0,5000000.0,60000.0,0.0,0.0,956.0495219752388,6765.8310385677805
0.0,0.0,5.0,34.0,5000000.0,5000000.0,5000000.0,140000.0,0.0,0.0,4060.3991879201617,9139.137966495944
0.0,0.0,8.0,65.0,5000000.0,5000000.0,5000000.0,210000.0,0.0,0.0,1789.0997763625285,7891.927570893423
0.0,0.0,7.0,29.0,5000000.0,5000000.0,5000000.0,158000.0,0.0,0.0,2866.1853048306707,6212.94806162248
0.0,0.0,2.0,6.0,5000000.0,5000000.0,5000000.0,33000.0,0.0,0.0,114.3499428250286,1813.9996976667169
0.0,0.0,5.0,34.0,5000000.0,5000000.0,5000000.0,126000.0,0.0,0.0,4058.6991882601615,8868.84385679871
0.0,0.0,5.0,31.0,5000000.0,5000000.0,5000000.0,57000.0,0.0,0.0,4050.099189980162,8233.315863441423
0.0,0.0,7.0,65.0,5000000.0,5000000.0,5000000.0,52000.0,0.0,0.0,1152.3426925224726,14528.953622631485
0.0,0.0,0.0,26.0,5000000.0,5000000.0,5000000.0,74000.0,0.0,0.0,0.0,6675.5612817091815
0.0,0.0,6.0,39.0,5000000.0,5000000.0,5000000.0,280000.0,0.0,0.0,3397.999433666761,10351.925375591658
0.0,0.0,1.0,17.0,5000000.0,5000000.0,5000000.0,105000.0,0.0,0.0,184.1998158001842,3119.893934123886
0.0,0.0,0.0,14.0,5000000.0,5000000.0,5000000.0,35000.0,0.0,0.0,0.0,12085.141993918429
0.0,0.0,8.0,47.0,5000000.0,5000000.0,5000000.0,500000.0,0.0,0.0,2565.1371793578533,11679.261453632736
0.0,0.0,7.0,40.0,5000000.0,5000000.0,5000000.0,315000.0,0.0,0.0,2915.7281548959786,10681.14723297132
0.0,0.0,6.0,36.0,5000000.0,5000000.0,5000000.0,189000.0,0.0,0.0,3388.699435216761,9540.060846109422
0.0,0.0,6.0,38.0,5000000.0,5000000.0,5000000.0,250000.0,0.0,0.0,3395.01610083065,10101.991839421267
0.0,0.0,6.0,38.0,5000000.0,5000000.0,5000000.0,260000.0,0.0,0.0,3395.816100697317,10266.557624564271
0.0,0.0,5.0,32.0,5000000.0,5000000.0,5000000.0,65000.0,0.0,0.0,4051.2991897401616,8159.599745012509
0.0,0.0,6.0,36.0,5000000.0,5000000.0,5000000.0,200000.0,0.0,0.0,3389.7494350417605,9734.169174050856
0.0,0.0,0.0,16.0,5000000.0,5000000.0,5000000.0,55000.0,0.0,0.0,0.0,1482.837407322662
0.0,0.0,0.0,16.0,5000000.0,5000000.0,5000000.0,55000.0,0.0,0.0,0.0,1482.837407322662
0.0,0.0,6.0,35.0,5000000.0,5000000.0,5000000.0,158000.0,0.0,0.0,3385.299435783428,9193.408308759765
0.0,0.0,5.0,34.0,5000000.0,5000000.0,5000000.0,140000.0,0.0,0.0,4060.3991879201617,9139.137966495944
0.0,0.0,6.0,35.0,5000000.0,5000000.0,5000000.0,173000.0,0.0,0.0,3387.1661021389828,9508.096871197233
0.0,0.0,5.0,31.0,5000000.0,5000000.0,5000000.0,34000.0,0.0,0.0,4047.5591904881617,7758.809427135181
0.0,0.0,6.0,59.0,5000000.0,5000000.0,5000000.0,63000.0,0.0,0.0,495.46658408890266,2293.4864018053154
0.0,0.0,1.0,14.0,5000000.0,5000000.0,5000000.0,140000.0,0.0,0.0,927.4990725009276,29150.362203545566
0.0,0.0,6.0,39.0,5000000.0,5000000.0,5000000.0,262000.0,0.0,0.0,3396.36610060565,10068.892049515593
0.0,0.0,5.0,32.0,5000000.0,5000000.0,5000000.0,63000.0,0.0,0.0,4050.9791898041617,8113.699746446883
0.0,0.0,5.0,34.0,5000000.0,5000000.0,5000000.0,142000.0,0.0,0.0,4060.3391879321616,9150.290907344386
0.0,0.0,6.0,35.0,5000000.0,5000000.0,5000000.0,170000.0,0.0,0.0,3386.7494355417607,9445.16258728107
0.0,0.0,5.0,27.0,5000000.0,5000000.0,5000000.0,10000.0,0.0,0.0,4020.239195952161,5754.510897981078
0.0,0.0,1.0,40.0,5000000.0,5000000.0,5000000.0,168000.0,0.0,0.0,1576.3984236015767,8502.349787441257
0.0,0.0,6.0,36.0,5000000.0,5000000.0,5000000.0,182000.0,0.0,0.0,3387.932768677872,9397.291405630796
0.0,0.0,5.0,31.0,5000000.0,5000000.0,5000000.0,55000.0,0.0,0.0,4050.1591899681625,8221.086831577843
0.0,0.0,9.0,54.0,5000000.0,5000000.0,5000000.0,250000.0,0.0,0.0,29208.952310116416,7000.492462953845
0.0,0.0,8.0,49.0,5000000.0,5000000.0,5000000.0,578000.0,0.0,0.0,2570.937178632853,12238.018117591471
0.0,0.0,5.0,33.0,5000000.0,5000000.0,5000000.0,100000.0,0.0,0.0,4055.7191888561615,8625.093678027466
0.0,0.0,0.0,22.0,5000000.0,5000000.0,5000000.0,25000.0,0.0,0.0,0.0,7576.231473807661
0.0,0.0,0.0,22.0,5000000.0,5000000.0,5000000.0,25000.0,0.0,0.0,0.0,7576.231473807661
0.0,0.0,8.0,39.0,5000000.0,5000000.0,5000000.0,178000.0,0.0,0.0,1299.7248375343954,16629.60470180501
0.0,0.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,7.499992500007501,0.0,0.0
0.0,1.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,6.9999930000070005,0.0,0.0
0.0,2.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,4.249997875001062,0.0,0.0
0.0,3.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,58.099980633339776,0.0,0.0
0.0,4.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,55.04998623750343,0.0,0.0
0.0,6.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,106.71664888055852,0.0,0.0
0.0,7.0,1.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,26.042853422449507,30.5999694000306,0.0
0.0,8.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,1.9374997578125304,0.0,0.0
0.0,10.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,454.9299545070046,0.0,0.0
0.0,10.0,1.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,1.7999998200000182,48.29995170004831,0.0
0.0,11.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,45.15454134958714,0.0,0.0
0.0,12.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,1.708333190972234,0.0,0.0
0.0,12.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,54.86666209444483,0.0,0.0
0.0,15.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,50.17999665466689,0.0,0.0
0.0,15.0,13.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,51.38666324088912,202.67690748639177,0.0
0.0,18.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,14.549999191666709,0.0,0.0
0.0,18.0,24.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,2.283333206481488,998.2332917402796,0.0
0.0,19.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,1.999999894736848,0.0,0.0
0.0,21.0,2.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,645.1952073716568,58992.32050383975,0.0
0.0,23.0,0.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,6.626086668431015,0.0,0.0
0.0,23.0,3.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,22.247825119659776,32.43332252222582,0.0
0.0,24.0,1.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,46.808331382986175,23.4999765000235,0.0
0.0,25.0,3.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,197.62399209504028,183.29993890002035,0.0
0.0,35.0,25.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,15.674285266448994,39.507998419680064,0.0
0.0,76.0,7.0,0.0,21000.0,27000.0,70000.0,5000000.0,0.0,9.768420924099726,50.6571356204092,0.0
0.0,5.0,5.0,0.0,19000.0,2000.0,76000.0,5000000.0,0.0,46.27999074400185,114.6399770720046,0.0
